EQID,CURRENCY,EXC_CODE,DESCRIPTION,TYPE,CREATED_DATE,UPDATED_DATE,BLCODE
DBE US Equity,USD,#A,INVESCO DB ENERGY FUND,ETP,2022-04-25 17:19:10.008182,2022-04-25 17:19:10.008182,DBE US Equity
IAU US Equity,USD,#A,ISHARES GOLD TRUST,ETP,2022-04-25 17:19:11.382298,2022-04-25 17:19:11.382298,IAU US Equity
SLV US Equity,USD,#A,ISHARES SILVER TRUST,ETP,2022-04-25 17:19:12.768224,2022-04-25 17:19:12.768224,SLV US Equity
AIA US Equity,USD,#A,ISHARES ASIA 50 ETF,ETP,2022-04-25 17:19:14.006713,2022-04-25 17:19:14.006713,AIA US Equity
VPL US Equity,USD,#A,VANGUARD FTSE PACIFIC ETF,ETP,2022-04-25 17:19:15.432757,2022-04-25 17:19:15.432757,VPL US Equity
VGK US Equity,USD,#A,VANGUARD FTSE EUROPE ETF,ETP,2022-04-25 17:19:16.736706,2022-04-25 17:19:16.736706,VGK US Equity
VWO US Equity,USD,#A,VANGUARD FTSE EMERGING MARKE,ETP,2022-04-25 17:19:18.036045,2022-04-25 17:19:18.036045,VWO US Equity
VXUS US Equity,USD,#A,VANGUARD TOTAL INTL STOCK,ETP,2022-04-25 17:19:19.327038,2022-04-25 17:19:19.327038,VXUS US Equity
RWO US Equity,USD,#A,SPDR DJ GLOBAL REAL ESTATE E,ETP,2022-04-25 17:19:20.591415,2022-04-25 17:19:20.591415,RWO US Equity
VOO US Equity,USD,#A,VANGUARD S&P 500 ETF,ETP,2022-04-25 17:19:21.902584,2022-04-25 17:19:21.902584,VOO US Equity
VO US Equity,USD,#A,VANGUARD MID-CAP ETF,ETP,2022-04-25 17:19:23.391564,2022-04-25 17:19:23.391564,VO US Equity
VB US Equity,USD,#A,VANGUARD SMALL-CAP ETF,ETP,2022-04-25 17:19:24.763405,2022-04-25 17:19:24.763405,VB US Equity
SCHH US Equity,USD,#A,SCHWAB US REIT ETF,ETP,2022-04-25 17:19:26.041099,2022-04-25 17:19:26.041099,SCHH US Equity
EMLC US Equity,USD,#A,VANECK JPM EM LOCAL CURR BND,ETP,2022-04-25 17:19:27.298717,2022-04-25 17:19:27.298717,EMLC US Equity
AGG US Equity,USD,#A,ISHARES CORE U.S. AGGREGATE,ETP,2022-04-25 17:19:28.541368,2022-04-25 17:19:28.541368,AGG US Equity
